id,timestamp,symbol,direction,baseline_entry,baseline_stop,baseline_target,anchor_40,buffer,planned_entry,entry_improvement_pct,planned_stop,planned_target,risk_pct,reward_r,status,fill_timestamp,outcome,outcome_r,outcome_timestamp,reason
Bitget_2026-09-22T04:40:32.566175+00:00_KASUSDT_LONG_0.04329,2026-09-22T04:40:32.566175+00:00,KASUSDT,LONG,0.04329,0.042930571429,0.04463,0.04256,2.66428571429e-05,0.0425866428571,1.624757,0.0425333571429,0.04463,0.125123,38.347185,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T05:41:53.319773+00:00_FETUSDT_LONG_0.1997,2026-09-22T05:41:53.319773+00:00,FETUSDT,LONG,0.1997,0.197048571429,0.2066,0.197,0.000175714285714,0.197175714286,1.264039,0.196824285714,0.2066,0.178231,26.817073,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T05:42:02.128241+00:00_ONGUSDT_LONG_0.09071,2026-09-22T05:42:02.128241+00:00,ONGUSDT,LONG,0.09071,0.089818428571,0.09315,0.08989,5.85e-05,0.0899485,0.839488,0.089818428571,0.09315,0.144607,24.613399,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T07:30:34.367957+00:00_DOGEUSDT_LONG_0.09913,2026-09-22T07:30:34.367957+00:00,DOGEUSDT,LONG,0.09913,0.098679571429,0.10135,0.09772,4.8e-05,0.097768,1.373953,0.097672,0.10135,0.098192,37.312500,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T07:45:58.956890+00:00_CROUSDT_LONG_0.06579,2026-09-22T07:45:58.956890+00:00,CROUSDT,LONG,0.06579,0.065071857143,0.06862,0.06516,2.32857142857e-05,0.0651832857143,0.922198,0.065071857143,0.06862,0.170947,30.842308,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T07:46:08.378950+00:00_METUSDT_LONG_0.2725,2026-09-22T07:46:08.378950+00:00,METUSDT,LONG,0.2725,0.270375714286,0.2859,0.2699,7.71428571429e-05,0.269977142857,0.925819,0.269822857143,0.2859,0.057148,103.203704,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T12:56:46.185974+00:00_COOKIEUSDT_LONG_0.01287,2026-09-22T12:56:46.185974+00:00,COOKIEUSDT,LONG,0.01287,0.012695,0.01381,0.01245,2.7e-05,0.012477,3.053613,0.012423,0.01381,0.432796,24.685185,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T12:57:03.914860+00:00_SONICUSDT_LONG_0.02631,2026-09-22T12:57:03.914860+00:00,SONICUSDT,LONG,0.02631,0.026040285714,0.02754,0.02603,2.56428571429e-05,0.0260556428571,0.966770,0.0260043571429,0.02754,0.196832,28.942897,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T13:36:39.747485+00:00_CYSUSDT_LONG_0.16676,2026-09-22T13:36:39.747485+00:00,CYSUSDT,LONG,0.16676,0.164087142857,0.17679,0.16158,0.000221857142857,0.161801857143,2.973221,0.161358142857,0.17679,0.274233,33.778815,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T16:07:51.621583+00:00_PHAUSDT_SHORT_0.04613,2026-09-22T16:07:51.621583+00:00,PHAUSDT,SHORT,0.04613,0.046530428571,0.04446,0.04696,3.71428571429e-05,0.0469228571429,1.718745,0.0469971428571,0.04446,0.158315,33.153846,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
Bitget_2026-09-22T18:50:57.041382+00:00_SOPHUSDT_SHORT_0.003828,2026-09-22T18:50:57.041382+00:00,SOPHUSDT,SHORT,0.003828,0.003849557143,0.003761,0.003863,1.59285714286e-06,0.00386140714286,0.872705,0.00386459285714,0.003761,0.082501,31.517937,SKIPPED,,,,,baseline target exceeds maximum 6R geometry
