timestamp,symbol,provider,stage,direction,confidence,alignment,risk_pct,v2_score,location_15m,exhaustion_15m,base_15m,structure_shift_5m,reversal_trigger_5m,early_reversal_score,reason
2026-09-25T03:56:33.332982+00:00,AEONUSDT,Bitget,REVERSAL_FAILED,LONG,67.5,0.0,,0.0,1.0,,,,,,countertrend early reversal requires stronger confirmation
2026-09-25T03:56:33.332982+00:00,VIRTUALUSDT,Bitget,NO_DIRECTION,,,,,6.5,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,APEUSDT,Bitget,NO_DIRECTION,,,,,6.3,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,ETHUSDT,Bitget,NO_DIRECTION,,,,,6.2,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,LABUSDT,Bitget,NO_DIRECTION,,,,,6.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,XTZUSDT,Bitget,NO_DIRECTION,,,,,5.7,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,2ZUSDT,Bitget,NO_DIRECTION,,,,,5.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,SKYUSDT,Bitget,NO_DIRECTION,,,,,5.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,ASTERUSDT,Bitget,NO_DIRECTION,,,,,5.3,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,BIOUSDT,Bitget,NO_DIRECTION,,,,,5.2,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,PLUMEUSDT,Bitget,REVERSAL_FAILED,LONG,68.8,0.0,,0.0,1.0,,,,,,countertrend early reversal requires stronger confirmation
2026-09-25T03:56:33.332982+00:00,SHIBUSDT,Bitget,NO_DIRECTION,,,,,5.0,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,WIFUSDT,Bitget,NO_DIRECTION,,,,,4.8,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,MYXUSDT,Bitget,NO_DIRECTION,,,,,4.5,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,SPKUSDT,Bitget,NO_DIRECTION,,,,,4.5,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,ATHUSDT,Bitget,NO_DIRECTION,,,,,4.3,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,RIVERUSDT,Bitget,NO_DIRECTION,,,,,3.6,,,,,,,early reversal direction returned None
2026-09-25T03:56:33.332982+00:00,BCHUSDT,Bitget,NO_DIRECTION,,,,,3.1,,,,,,,early reversal direction returned None
